locus_tag	simbolo	alias	tipo	producto	es_tf	fuente_tf	fuente	sensible_mayusculas
PA4362		PA4362	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4363	iciA	PA4363|argP	protein_coding	chromosome replication initiation inhibitor protein	true	go_0003700|go_0006355|kw_transcription_regulation	refseq|kegg|uniprot|uniprot_especie	false
PA4364		PA4364	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4365		PA4365	protein_coding	transporter	false		refseq|kegg|uniprot	false
PA4366	sodB	PA4366	protein_coding	superoxide dismutase	false		refseq|kegg|uniprot|uniprot_especie	false
PA4367	bifA	PA4367	protein_coding	protein BifA	false		refseq|kegg|uniprot	false
PA4368		PA4368	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4369		PA4369	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4370	icmP	PA4370	protein_coding	insulin-cleaving metalloproteinase outer membrane protein	false		refseq|kegg|uniprot	false
PA4371		PA4371	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4372		PA4372	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4373		PA4373	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4374		PA4374	protein_coding	resistance-nodulation-cell division (RND) efflux membrane fusion protein	false		refseq|kegg|uniprot	false
PA4375		PA4375	protein_coding	multidrug efflux protein	false		refseq|kegg|uniprot	false
PA4376	pncB2	PA4376	protein_coding	nicotinate phosphoribosyltransferase	false		refseq|kegg|uniprot|uniprot_especie	false
PA4377		PA4377	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4378	inaA	PA4378	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4379		PA4379	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4380		PA4380	protein_coding	two-component sensor	true	kw_two_component	refseq|kegg|uniprot	false
PA4381		PA4381	protein_coding	two-component response regulator	true	go_0006355|kw_transcription_regulation|kw_two_component|producto_refseq	refseq|kegg|uniprot	false
PA4382		PA4382	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4383	fluC	PA4383|crcB	protein_coding	camphor resistance protein CrcB	false		refseq|kegg|uniprot|uniprot_especie	false
PA4384		PA4384	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4385	groEL	PA4385|groL|mopA	protein_coding	molecular chaperone GroEL	false		refseq|kegg|uniprot|uniprot_especie	false
PA4386	groES	PA4386|groS|mopB	protein_coding	co-chaperonin GroES	false		refseq|kegg|uniprot|uniprot_especie	false
PA4387		PA4387	protein_coding	phage exclusion suppressor FxsA	false		refseq|kegg|uniprot	false
PA4388		PA4388	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4389	speA	PA4389	protein_coding	3-ketoacyl-ACP reductase	false		refseq|kegg|uniprot	false
PA4390		PA4390	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4391		PA4391	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
